Camada JS;Encontrada no GeoServer;Nome no GeoServer;Similaridade (%)
AREAS_RESTRICAO_CETESB_POL;EXATA;AREAS_RESTRICAO_CETESB_POL;100
AREAS_RESTRICAO_DAEE_POL;EXATA;AREAS_RESTRICAO_DAEE_POL;100
AREA_RESTRICAO_AGUA_SUBTERRANEA_JURUBATUBA;EXATA;AREA_RESTRICAO_AGUA_SUBTERRANEA_JURUBATUBA;100
BrasilUF_update;NÃO;;
DISTRITO_MUNICIPAL_SP_SMDU;EXATA;DISTRITO_MUNICIPAL_SP_SMDU;100
LimiteSubBacias2013;EXATA;LimiteSubBacias2013;100
RISCO_FOGO_ATUALIZADO_INPE;NÃO;;
SedesMunicipais;EXATA;SedesMunicipais;100
SitiosArqueologicos;EXATA;SitiosArqueologicos;100
VWM_AREA_RISCO_EROSAO_IG_2014_POL;EXATA;VWM_AREA_RISCO_EROSAO_IG_2014_POL;100
VWM_AREA_RISCO_ESCORREGAMENTO_IG_2014_POL;EXATA;VWM_AREA_RISCO_ESCORREGAMENTO_IG_2014_POL;100
VWM_AREA_RISCO_INUNDACAO_IG_2014_POL;EXATA;VWM_AREA_RISCO_INUNDACAO_IG_2014_POL;100
VWM_AREA_RISCO_SOLAPAMENTO_IG_2014_POL;EXATA;VWM_AREA_RISCO_SOLAPAMENTO_IG_2014_POL;100
balancas;NÃO;;
dispositivos_alca;NÃO;;
dispositivos_ponto;NÃO;;
fad:INVENTARIO_FLORESTAL_UGRHI01_IPA_2020_POL;SIMILAR;INVENTARIO_FLORESTAL_UGRHI01_IPA_2020_POL;95
fad:INVENTARIO_FLORESTAL_UGRHI02_IPA_2020_POL;SIMILAR;INVENTARIO_FLORESTAL_UGRHI02_IPA_2020_POL;95
fad:INVENTARIO_FLORESTAL_UGRHI03_IPA_2020_POL;SIMILAR;INVENTARIO_FLORESTAL_UGRHI03_IPA_2020_POL;95
fad:INVENTARIO_FLORESTAL_UGRHI04_IPA_2020_POL;SIMILAR;INVENTARIO_FLORESTAL_UGRHI04_IPA_2020_POL;95
fad:INVENTARIO_FLORESTAL_UGRHI05_IPA_2020_POL;SIMILAR;INVENTARIO_FLORESTAL_UGRHI05_IPA_2020_POL;95
fad:INVENTARIO_FLORESTAL_UGRHI06_IPA_2020_POL;SIMILAR;INVENTARIO_FLORESTAL_UGRHI06_IPA_2020_POL;95
fad:INVENTARIO_FLORESTAL_UGRHI07_IPA_2020_POL;SIMILAR;INVENTARIO_FLORESTAL_UGRHI07_IPA_2020_POL;95
fad:INVENTARIO_FLORESTAL_UGRHI08_IPA_2020_POL;SIMILAR;INVENTARIO_FLORESTAL_UGRHI08_IPA_2020_POL;95
fad:INVENTARIO_FLORESTAL_UGRHI09_IPA_2020_POL;SIMILAR;INVENTARIO_FLORESTAL_UGRHI09_IPA_2020_POL;95
fad:INVENTARIO_FLORESTAL_UGRHI10_IPA_2020_POL;SIMILAR;INVENTARIO_FLORESTAL_UGRHI10_IPA_2020_POL;95
fad:INVENTARIO_FLORESTAL_UGRHI11_IPA_2020_POL;SIMILAR;INVENTARIO_FLORESTAL_UGRHI11_IPA_2020_POL;95
fad:INVENTARIO_FLORESTAL_UGRHI12_IPA_2020_POL;SIMILAR;INVENTARIO_FLORESTAL_UGRHI12_IPA_2020_POL;95
fad:INVENTARIO_FLORESTAL_UGRHI13_IPA_2020_POL;SIMILAR;INVENTARIO_FLORESTAL_UGRHI13_IPA_2020_POL;95
fad:INVENTARIO_FLORESTAL_UGRHI14_IPA_2020_POL;SIMILAR;INVENTARIO_FLORESTAL_UGRHI14_IPA_2020_POL;95
fad:INVENTARIO_FLORESTAL_UGRHI15_IPA_2020_POL;SIMILAR;INVENTARIO_FLORESTAL_UGRHI15_IPA_2020_POL;95
